image,psnr,ssim,lpips
Component_31/Component_31_with_bg_2.png,22.5388,0.9481,0.1658
Component_31/Component_31_with_bg_3.png,16.9349,0.8413,0.1177
Component_31/Component_31_with_bg_4.png,15.2596,0.7805,0.2482
Component_31/Component_31_with_bg_5.png,14.5305,0.7554,0.2110
Component_32/Component_32_with_bg_0.png,28.7323,0.9689,0.1611
Component_32/Component_32_with_bg_1.png,24.6071,0.9362,0.2258
Component_32/Component_32_with_bg_2.png,24.0736,0.9593,0.1500
Component_32/Component_32_with_bg_3.png,20.7719,0.8950,0.1353
Component_32/Component_32_with_bg_4.png,17.4457,0.8162,0.2653
Component_32/Component_32_with_bg_5.png,16.8336,0.8266,0.1722
Component_33/Component_33_with_bg_0.png,27.0738,0.9571,0.1560
Component_33/Component_33_with_bg_1.png,22.0616,0.9201,0.1682
Component_33/Component_33_with_bg_2.png,23.7457,0.9532,0.1280
Component_33/Component_33_with_bg_3.png,12.7500,0.8340,0.2925
Component_33/Component_33_with_bg_4.png,20.6990,0.8830,0.2062
Component_33/Component_33_with_bg_5.png,17.4411,0.8486,0.2216
Component_34/Component_34_with_bg_3.png,19.4931,0.8915,0.1779
Component_34/Component_34_with_bg_4.png,20.5583,0.9011,0.1562
Component_34/Component_34_with_bg_5.png,24.6281,0.9424,0.0985
Component_35/Component_35_with_bg_2.png,47.9270,0.9154,0.0007
Component_35/Component_35_with_bg_3.png,22.5290,0.9298,0.1145
Component_35/Component_35_with_bg_4.png,20.6085,0.9070,0.1492
Component_35/Component_35_with_bg_5.png,25.0948,0.9467,0.0988
Component_36/Component_36_with_bg_3.png,19.6307,0.9393,0.0980
