image,count_a,count_b,matched,coverage,mean_iou,count_delta
Component_121/Component_121_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_121/Component_121_with_bg_2.png,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000
Component_121/Component_121_with_bg_4.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_122/Component_122_with_bg_1.png,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000
Component_122/Component_122_with_bg_2.png,2.0000,1.0000,0.0000,0.0000,0.0000,1.0000
Component_122/Component_122_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_122/Component_122_with_bg_4.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_122/Component_122_with_bg_5.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_123/Component_123_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_123/Component_123_with_bg_2.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_123/Component_123_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_123/Component_123_with_bg_4.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_123/Component_123_with_bg_5.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_124/Component_124_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_124/Component_124_with_bg_2.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_124/Component_124_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_124/Component_124_with_bg_4.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_124/Component_124_with_bg_5.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_125/Component_125_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_125/Component_125_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_126/Component_126_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_126/Component_126_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_127/Component_127_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_127/Component_127_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_128/Component_128_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_128/Component_128_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_128/Component_128_with_bg_5.png,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000
Component_129/Component_129_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_129/Component_129_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_129/Component_129_with_bg_5.png,1.0000,1.0000,1.0000,1.0000,0.9377,0.0000
Component_13/Component_13_with_bg_0.png,2.0000,0.0000,0.0000,0.0000,0.0000,2.0000
Component_13/Component_13_with_bg_1.png,3.0000,1.0000,0.0000,0.0000,0.0000,2.0000
Component_13/Component_13_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_13/Component_13_with_bg_4.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_13/Component_13_with_bg_5.png,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000
Component_130/Component_130_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_130/Component_130_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_130/Component_130_with_bg_5.png,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000
Component_131/Component_131_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_131/Component_131_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_132/Component_132_with_bg_0.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Component_132/Component_132_with_bg_3.png,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
