image,pixel_agreement,miou_proxy
Component_27/Component_27_with_bg_1.png,1.0000,1.0000
Component_27/Component_27_with_bg_2.png,1.0000,1.0000
Component_27/Component_27_with_bg_3.png,0.9972,0.5233
Component_27/Component_27_with_bg_4.png,0.9996,0.7183
Component_27/Component_27_with_bg_5.png,0.9996,0.7115
Component_28/Component_28_with_bg_0.png,1.0000,1.0000
Component_28/Component_28_with_bg_1.png,1.0000,1.0000
Component_28/Component_28_with_bg_2.png,1.0000,1.0000
Component_28/Component_28_with_bg_3.png,0.9995,0.6835
Component_28/Component_28_with_bg_4.png,0.9996,0.5770
Component_28/Component_28_with_bg_5.png,0.9996,0.7143
Component_29/Component_29_with_bg_0.png,1.0000,1.0000
Component_29/Component_29_with_bg_1.png,1.0000,1.0000
Component_29/Component_29_with_bg_2.png,1.0000,1.0000
Component_29/Component_29_with_bg_3.png,0.9992,0.6475
Component_29/Component_29_with_bg_4.png,0.9991,0.6212
Component_29/Component_29_with_bg_5.png,0.9993,0.5265
Component_3/Component_3_with_bg_0.png,0.8903,0.2968
Component_3/Component_3_with_bg_1.png,0.9839,0.4920
Component_3/Component_3_with_bg_2.png,0.9990,0.4995
Component_3/Component_3_with_bg_3.png,1.0000,1.0000
Component_3/Component_3_with_bg_4.png,1.0000,1.0000
Component_30/Component_30_with_bg_1.png,0.7516,0.1605
Component_30/Component_30_with_bg_3.png,0.9786,0.4893
Component_30/Component_30_with_bg_4.png,0.8806,0.2935
Component_30/Component_30_with_bg_5.png,1.0000,1.0000
Component_31/Component_31_with_bg_0.png,0.9996,0.4998
Component_31/Component_31_with_bg_1.png,1.0000,1.0000
Component_31/Component_31_with_bg_2.png,1.0000,1.0000
Component_31/Component_31_with_bg_3.png,1.0000,1.0000
Component_31/Component_31_with_bg_4.png,1.0000,1.0000
Component_31/Component_31_with_bg_5.png,1.0000,1.0000
Component_32/Component_32_with_bg_0.png,1.0000,1.0000
Component_32/Component_32_with_bg_1.png,0.9994,0.4997
Component_32/Component_32_with_bg_2.png,1.0000,1.0000
